省市別,縣市別,政黨總得票數,政黨總得票率,政黨數,0/政黨代碼,0/得票數,0/得票率,1/政黨代碼,1/得票數,1/得票率,2/政黨代碼,2/得票數,2/得票率,3/政黨代碼,3/得票數,3/得票率,4/政黨代碼,4/得票數,4/得票率,5/政黨代碼,5/得票數,5/得票率,6/政黨代碼,6/得票數,6/得票率,7/政黨代碼,7/得票數,7/得票率,8/政黨代碼,8/得票數,8/得票率,9/政黨代碼,9/得票數,9/得票率,10/政黨代碼,10/得票數,10/得票率,11/政黨代碼,11/得票數,11/得票率,12/政黨代碼,12/得票數,12/得票率,13/政黨代碼,13/得票數,13/得票率,14/政黨代碼,14/得票數,14/得票率,15/政黨代碼,15/得票數,15/得票率,16/政黨代碼,16/得票數,16/得票率,17/政黨代碼,17/得票數,17/得票率,18/政黨代碼,18/得票數,18/得票率,19/政黨代碼,19/得票數,19/得票率,20/政黨代碼,20/得票數,20/得票率,21/政黨代碼,21/得票數,21/得票率,22/政黨代碼,22/得票數,22/得票率,23/政黨代碼,23/得票數,23/得票率,24/政黨代碼,24/得票數,24/得票率
0,00,02241458,0657600,06,1,1148838,3371,3,1081083,3172,7,5984,18,19,1492,4,22,4061,12,99,1166907,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,00,00000000,0000000,01,99,3775,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,00,00003018,0485800,02,1,3018,4858,99,3194,5142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,00,00006849,1000000,01,1,6849,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,00,00003618,0615500,03,1,2126,3617,19,1492,2538,99,2260,3845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,01,00159902,0622900,03,1,157398,6131,3,2504,98,99,96805,3771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,02,00122732,0396500,02,1,122732,3965,99,186812,6035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,03,00525680,0734000,04,1,262069,3659,3,260915,3643,7,2696,38,99,190496,2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,04,00170762,0587400,04,1,92100,3168,3,74601,2566,22,4061,140,99,119953,4126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,05,00249347,0619800,03,1,57800,1437,3,191547,4761,99,152979,3802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
