省市別,縣市別,政黨總得票數,政黨總得票率,政黨數,0/政黨代碼,0/得票數,0/得票率,1/政黨代碼,1/得票數,1/得票率,2/政黨代碼,2/得票數,2/得票率,3/政黨代碼,3/得票數,3/得票率,4/政黨代碼,4/得票數,4/得票率,5/政黨代碼,5/得票數,5/得票率,6/政黨代碼,6/得票數,6/得票率,7/政黨代碼,7/得票數,7/得票率,8/政黨代碼,8/得票數,8/得票率,9/政黨代碼,9/得票數,9/得票率,10/政黨代碼,10/得票數,10/得票率,11/政黨代碼,11/得票數,11/得票率,12/政黨代碼,12/得票數,12/得票率,13/政黨代碼,13/得票數,13/得票率,14/政黨代碼,14/得票數,14/得票率,15/政黨代碼,15/得票數,15/得票率,16/政黨代碼,16/得票數,16/得票率,17/政黨代碼,17/得票數,17/得票率,18/政黨代碼,18/得票數,18/得票率,19/政黨代碼,19/得票數,19/得票率,20/政黨代碼,20/得票數,20/得票率,21/政黨代碼,21/得票數,21/得票率,22/政黨代碼,22/得票數,22/得票率,23/政黨代碼,23/得票數,23/得票率,24/政黨代碼,24/得票數,24/得票率
0,00,09736290,0799500,21,1,4488789,3686,2,5827,5,3,4515532,3708,4,129634,106,5,57338,47,6,190107,156,7,224904,185,8,55682,46,9,23,0,10,614,1,11,597,0,12,167,0,13,207,0,14,741,1,15,14980,12,16,81,0,17,477,0,19,1713,1,20,389,0,22,48488,40,99,2442281,2005,0,0,0,0,0,0,0,0,0,0,0,0
1,00,01375742,0934600,09,1,567792,3857,3,578068,3927,4,86129,585,6,65710,446,7,43291,294,13,207,1,15,3642,25,22,30903,210,99,96238,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,00,01684980,0885400,10,1,741177,3895,3,824417,4332,4,33398,175,5,14125,74,6,23981,126,7,41088,216,10,614,3,15,5791,30,20,389,2,99,218048,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,00,00736896,0765400,11,1,361213,3752,3,302881,3146,4,7207,75,5,25913,269,6,14920,155,7,11340,118,8,12454,129,11,597,6,15,290,3,16,81,1,99,225854,2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,00,01208860,0825200,07,1,560089,3823,3,584725,3991,6,37892,259,7,18893,129,17,477,3,22,6784,46,99,256119,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,00,00745986,0765400,05,1,272235,2793,3,448577,4603,7,23002,236,22,2172,22,99,228614,2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,00,01316912,0908000,09,1,500038,3448,3,686758,4735,4,2493,17,5,7798,54,6,23308,161,7,51625,356,8,42649,294,15,2243,15,99,133489,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,01,00184211,0690500,05,1,152187,5705,2,5827,218,3,21795,817,5,4402,165,99,82560,3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,02,00176937,0562500,04,1,129212,4108,3,43906,1396,22,3819,121,99,137615,4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,03,00525892,0736100,05,1,281619,3942,3,242667,3397,7,865,12,14,741,10,99,188537,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
